Excluded due to y_range or header_y_range: {'content': 'Hokitika Harbour', 'polygon': [1.3972, 0.6701, 2.4476, 0.6768, 2.4476, 0.8035, 1.3972, 0.7935], 'spans': [{'offset': 27436, 'length': 16}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.791, 0.6768, 3.4179, 0.6768, 3.4179, 0.8168, 2.791, 0.8168], 'spans': [{'offset': 27453, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': '1901.', 'polygon': [0.6836, 0.6801, 1.0337, 0.6835, 1.0337, 0.7935, 0.6836, 0.7968], 'spans': [{'offset': 27462, 'length': 5}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.13, 9.5616, 0.1334, 5.2942, 0.2368, 5.2942, 0.2301, 9.5616], 'spans': [{'offset': 33447, 'length': 74}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT /', 'polygon': [0.0167, 9.5583, 0.0167, 7.4746, 0.1167, 7.4746, 0.1167, 9.5583], 'spans': [{'offset': 33522, 'length': 35}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.4005, 9.4516, 2.0974, 9.4516, 2.1008, 9.6683, 1.4005, 9.675], 'spans': [{'offset': 33354, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9303, 9.5283, 1.3872, 9.535, 1.3872, 9.6216, 0.9303, 9.6183], 'spans': [{'offset': 33341, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': 'Board Loan.', 'polygon': [4.0115, 0.6734, 4.7384, 0.6734, 4.7384, 0.8001, 4.0115, 0.8001], 'spans': [{'offset': 27424, 'length': 11}]}
Excluded due to y_range or header_y_range: {'content': '405', 'polygon': [5.3119, 0.6901, 5.522, 0.6868, 5.5187, 0.7935, 5.3119, 0.7901], 'spans': [{'offset': 27420, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.2882, 9.475, 4.7818, 9.475, 4.7818, 9.565, 4.2882, 9.565], 'spans': [{'offset': 33361, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.8614, 9.5783, 5.1919, 9.5783, 5.1919, 9.6817, 3.8614, 9.685], 'spans': [{'offset': 33375, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': 'Public Health', 'polygon': [1.5601, 0.6667, 2.3869, 0.6701, 2.3836, 0.7934, 1.5601, 0.7934], 'spans': [{'offset': 34052, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.9236, 0.6667, 3.567, 0.6701, 3.567, 0.8134, 2.9236, 0.8101], 'spans': [{'offset': 34066, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': '406', 'polygon': [0.8434, 0.6801, 1.0568, 0.6767, 1.0568, 0.7934, 0.8467, 0.7934], 'spans': [{'offset': 34048, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT / https://hdl.handle.net/2027/uc1.32106019788238', 'polygon': [0.0133, 9.5544, 0.0133, 4.9372, 0.1233, 4.9372, 0.1233, 9.5544], 'spans': [{'offset': 40398, 'length': 82}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access_use#cc-zero', 'polygon': [0.1267, 9.5544, 0.1267, 5.3806, 0.23, 5.3806, 0.2267, 9.5544], 'spans': [{'offset': 40323, 'length': 74}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3768, 9.4344, 2.0535, 9.4344, 2.0502, 9.6644, 1.3768, 9.6611], 'spans': [{'offset': 40277, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9101, 9.5178, 1.3535, 9.5211, 1.3501, 9.6111, 0.9101, 9.6044], 'spans': [{'offset': 40264, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': '[JULY 17', 'polygon': [5.1138, 0.6701, 5.6472, 0.6734, 5.6439, 0.8201, 5.1138, 0.8168], 'spans': [{'offset': 34088, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'Regulations.', 'polygon': [3.9904, 0.6734, 4.7038, 0.6734, 4.7038, 0.8134, 3.9904, 0.8101], 'spans': [{'offset': 34075, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.1937, 9.4678, 4.6871, 9.4678, 4.6871, 9.5578, 4.1937, 9.5578], 'spans': [{'offset': 40284, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.7837, 9.5744, 5.0938, 9.5744, 5.0938, 9.6711, 3.7837, 9.6711], 'spans': [{'offset': 40298, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': 'Railway-freights', 'polygon': [1.3404, 0.6368, 2.3206, 0.6434, 2.3206, 0.7868, 1.337, 0.7801], 'spans': [{'offset': 41211, 'length': 16}]}
Excluded due to y_range or header_y_range: {'content': '1901.]', 'polygon': [0.5802, 0.6468, 0.9603, 0.6468, 0.9569, 0.7768, 0.5802, 0.7768], 'spans': [{'offset': 41237, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.6874, 0.6501, 3.3309, 0.6501, 3.3309, 0.7935, 2.6874, 0.7968], 'spans': [{'offset': 41228, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'RAILWAY FREIGHTS ON FIREWOOD.', 'polygon': [0.6635, 0.9335, 2.8841, 0.9335, 2.8841, 1.0468, 0.6635, 1.0468], 'spans': [{'offset': 41244, 'length': 29}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust. org/access use#cc-zero', 'polygon': [0.13, 9.5683, 0.13, 5.2909, 0.2301, 5.2909, 0.2267, 9.5683], 'spans': [{'offset': 47443, 'length': 75}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT', 'polygon': [0.02, 9.575, 0.0167, 7.6847, 0.1134, 7.6847, 0.1167, 9.575], 'spans': [{'offset': 47519, 'length': 33}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.4071, 9.4516, 2.0939, 9.465, 2.0839, 9.675, 1.3971, 9.685], 'spans': [{'offset': 47350, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9336, 9.5316, 1.3837, 9.535, 1.3837, 9.625, 0.9336, 9.6183], 'spans': [{'offset': 47337, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': 'on Firewood.', 'polygon': [3.8811, 0.6468, 4.6346, 0.6468, 4.6346, 0.7701, 3.8811, 0.7735], 'spans': [{'offset': 41198, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': '407', 'polygon': [5.2181, 0.6534, 5.4248, 0.6534, 5.4248, 0.7701, 5.2181, 0.7701], 'spans': [{'offset': 41194, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'THOMAS LOONEY.', 'polygon': [3.6944, 0.9435, 4.7947, 0.9435, 4.7947, 1.0502, 3.6944, 1.0468], 'spans': [{'offset': 44358, 'length': 14}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.2778, 9.4816, 4.7713, 9.4816, 4.7713, 9.565, 4.2778, 9.565], 'spans': [{'offset': 47357, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.8544, 9.585, 5.1814, 9.585, 5.1814, 9.6817, 3.8544, 9.6817], 'spans': [{'offset': 47371, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.9967, 0.6168, 3.65, 0.6168, 3.65, 0.7635, 2.9967, 0.7635], 'spans': [{'offset': 47863, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'Police Regulations.', 'polygon': [1.5067, 0.6201, 2.62, 0.6234, 2.62, 0.7601, 1.5067, 0.7568], 'spans': [{'offset': 47843, 'length': 19}]}
Excluded due to y_range or header_y_range: {'content': '408', 'polygon': [0.8933, 0.6268, 1.1033, 0.6268, 1.1033, 0.7368, 0.89, 0.7401], 'spans': [{'offset': 47839, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Mr. McGOWAN (Minister of Justice) said, as', 'polygon': [1, 0.9168, 3.2667, 0.9202, 3.2667, 1.0335, 1, 1.0302], 'spans': [{'offset': 47901, 'length': 42}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT / https://hdl.handle.net/2027/uc1.32106019788238', 'polygon': [0.02, 9.5716, 0.0167, 4.8942, 0.1133, 4.8942, 0.1133, 9.5716], 'spans': [{'offset': 53803, 'length': 82}]}
