2024-10-03 15:39:08,654 - INFO - Excluded strings: ['<!-- FigureContent="Stores.', '" Per" -->', '<!-- PageHeader="Imperial Honours.', 'http://www.hathitrust.org/access use#cc-zero', 'http://www.hathitrust. org/access use#cc-zero', 'org/access', 'use#cc-zero', '/'], Excluded patterns: ['http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+]|[!*\\\\(\\\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+', '<!--\\s*[a-zA-Z]+\\s*="[^"]*"\\s*-->']
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-04-28 23:23 GMT / https://hdl.handle.net/2027/uc1.32106019788253', 'polygon': [0.0167, 9.6867, 0.0167, 5.0867, 0.1133, 5.0867, 0.1133, 9.6867], 'spans': [{'offset': 20275, 'length': 82}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.1267, 9.7033, 0.13, 5.51, 0.23, 5.51, 0.2233, 9.7033], 'spans': [{'offset': 20200, 'length': 74}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Google" -->', 'polygon': [1.3767, 9.5733, 2.05, 9.5733, 2.05, 9.8033, 1.3767, 9.8], 'spans': [{'offset': 20021, 'length': 11}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Digitized by', 'polygon': [0.9133, 9.6567, 1.35, 9.6633, 1.3467, 9.7533, 0.9133, 9.7467], 'spans': [{'offset': 19991, 'length': 29}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Privilege.', 'polygon': [3.76, 0.6633, 4.3133, 0.6733, 4.31, 0.8133, 3.7567, 0.8033], 'spans': [{'offset': 20188, 'length': 10}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="387" -->', 'polygon': [4.98, 0.6767, 5.19, 0.6767, 5.19, 0.7933, 4.98, 0.79], 'spans': [{'offset': 20161, 'length': 25}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Original from', 'polygon': [4.1867, 9.6067, 4.6867, 9.6067, 4.6833, 9.6967, 4.1867, 9.6933], 'spans': [{'offset': 20034, 'length': 30}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA" -->', 'polygon': [3.77, 9.7033, 5.0833, 9.7033, 5.0833, 9.81, 3.77, 9.8133], 'spans': [{'offset': 20065, 'length': 29}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.8002, 0.6001, 2.3802, 0.6001, 2.3802, 0.7401, 1.8002, 0.7401], 'spans': [{'offset': 20812, 'length': 31}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="383" -->', 'polygon': [0.9434, 0.6068, 1.1668, 0.6101, 1.1634, 0.7268, 0.9401, 0.7301], 'spans': [{'offset': 20785, 'length': 25}]}
